REQ-ID,Description (Summary),Priority,Verification Method,Design Ref,Notes / Acceptance Criteria
REQ-4.3.4,"Draft folders show Word file, download, read-only preview",High,Generate -> select Draft folder,FS-4.3.4,Preview displays content; download produces .docx or markdown equivalent
REQ-4.3.5,FRS supports variable sub-docs (FRS/DDS/SDS/CS) based on decision tree,Medium,Test different GAMP/system types,FS-4.3.5,"Correct sub-docs generated (e.g., simple PLC -> FRS+CS only)"
REQ-4.4.1,"Upload electronic PDFs (Kneat-style, clean text) to Approved/Post-Approved folders",High,Upload clean PDF -> verify extraction/preview,FS-4.4.1,Text extracted & displayed; no OCR/handwriting support required
REQ-4.4.2,"On upload confirmation, propagate changes to downstream drafts automatically",High,Upload approved URS -> check updated RTM/FRS,FS-4.4.2,Downstream docs regen with amber -> tick; consistency maintained
REQ-4.4.3,SAT/IOQ Post-Approved prompt for discrepancy inclusions,Medium,Upload Post-Approved PDF -> verify prompt,FS-4.4.3,Valhender message appears reminding user to include discrepancies
REQ-4.5.1,Valhender defends content with reg/SOP references & Voss techniques,High,Query generated doc -> review response,FS-4.5.1,"References e.g. Annex 11 §9; uses labelling, empathy, reassurance"
REQ-4.5.2,Handle off-topic queries with refusal + cheesy joke,Medium,Ask unrelated question,FS-4.5.2,Response refuses politely with humor; stays on validation topic
REQ-4.5.3,"Emphasize advantages over generic LLMs (determinism, privacy, no hallucinations)",High,Ask about ChatGPT comparison,FS-4.5.3,"Valhender explains traceability, audit trail, local data benefits"
REQ-4.6.1,"Display popup exceptions (memory full, errors, too many users)",Medium,Simulate error conditions (if possible),FS-4.6.1,Appropriate Valhender message appears in popup
REQ-4.6.2,"Admin dashboard for metrics (visits, memory, errors, ratings) -> creator only",Low,Access as admin -> verify visibility,FS-4.6.2,Only visible to specified user; shows basic stats
REQ-5.1,Performance: full suite generation in minutes; responses fast,High,Time generation process,FS-5.1,Target <5-10 min for complete suite
REQ-5.2,"Availability: Browser-based, no server for zero budget",Medium,Deploy & access as static file,FS-2 (Architecture),Runs entirely client-side; hostable on GitHub Pages
REQ-5.3,"Security/Privacy: local storage, no external data sharing",High,Inspect network traffic & storage,FS-5.3,No API calls to external services; data stays in browser
REQ-5.4,Determinism: identical inputs yield identical outputs,High,Run same inputs twice,FS-5.4,Outputs match (via fixed seeds/rules where applicable)
REQ-5.5,"Usability: Animated Valhender, intuitive navigation",Medium,User walkthrough & feedback simulation,"FS-4.1.1, FS-4.1.2","Responsive layout, clear icons, logical flow"
REQ-5.6,Scalability: Handle up to 50 systems,Low,Test with max input,FS-5.6,Array limits and loop safeguards prevent performance degradation
REQ-6.1,"Docs compliant in style with 21 CFR Parts 11/210/211, EudraLex Vol 4 Annex 11/15/22, GAMP 5",High,Manual review of generated content,FS-6.1,"Headers, sections, traceability follow good practice (demo only)"
REQ-6.2,Audit trail ALCOA+ compliant (simplified for demo),High,Review trail after actions,"FS-4.2.2, FS-6.2",Entries created contemporaneously for key events
REQ-6.3,"Clear disclaimer: demo only, not for real GxP use",High,Verify displayed on load,FS-6.3,Prominent in initial response & footer
REQ-6.4,Support electronic uploads/extractions (clean PDFs),Medium,Upload & extract test,"FS-4.4.1, FS-6.4",Reliable text extraction from digital PDFs (no OCR required)
,,,,,
,,,,,
,,,,,
,,,,,
